OBJECTID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,WEBSITE,OWNER,OPERNAME,CAPACITY,US_RANK,CRUDE,IMAGE
41,BENICIA,3400 E SECOND ST,BENICIA,CA,LARGE FUELS REFINERY,IN SERVICE,549,SOLANO,38.07159,-122.13795,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO CALIFORNIA,145000,52,145000,https://drive.google.com/uc?id=1Iee9ly4t0NF94mW81WCUbaqQePR6v1yB
42,PORT ALLEN,1940 LOUISIANA HWY 1 NORTH,PORT ALLEN,LA,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,285,WEST BATON ROUGE,30.47564,-91.20631,http://www.placidrefining.com,PLACID OIL CO,PLACID REFINING CO,75000,81,75000,https://drive.google.com/uc?id=1ETUofsN0qHA2phlC1IzbvLkEgrhZZOTw
43,TORRANCE,3700 W 190TH STREET,TORRANCE,CA,HIGHLY COMPLEX REFINERY,IN SERVICE,800,LOS ANGELES,33.85271,-118.33026,http://corporate.exxonmobil.com,PBF ENERGY CO LLC,TORRANCE REFINING CO LLC,150900,49,150900,https://drive.google.com/uc?id=1lTFB0LbO3iQ1veVj_TeUrNIS57YGgNqI
44,BAKERSFIELD,7724 E PANAMA LN,BAKERSFIELD,CA,SMALL REFINERY,IN SERVICE,110,KERN,35.29459,-118.91804,http://www.kernoil.com,KERN OIL & REFINING CO,KERN OIL & REFINING CO,26000,112,26000,https://drive.google.com/uc?id=1lBtC-vlGu-8yko1UIgCFDJ3k80grLkR0
45,LINDEN,1400 PARK AVE SOUTH,LINDEN,NJ,LARGE COMPLEX REFINERY COLOCATED WITH PETROCHEMICALS,IN SERVICE,830,UNION,40.6324,-74.22303,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,241000,25,241000,https://drive.google.com/uc?id=1IhX1QC8zq8j1AuitqbOsCq3ACfMx_CaA
46,SWEENY,SOUTHWEST OF THE INTERSECTION OF FM 524 AND HWY 35,OLD OCEAN,TX,LARGE COMPLEX REFINERY,IN SERVICE,923,BRAZORIA,29.07292,-95.74694,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,247000,23,247000,https://drive.google.com/uc?id=1BoL7s5pQUEHqobYmqUrN17Ul-mPA0176
47,SANDERSVILLE,177 HANEY RD HWY 11 N (2 MI N OF SANDERSVILLE),HEIDELBERG,MS,SMALL ASPHALT REFINERY,IN SERVICE,40,JONES,31.81706,-89.00875,http://www.huntrefining.com,HUNT CONSLD INC,HUNT SOUTHLAND REFINING CO,11000,126,11000,https://drive.google.com/uc?id=1LCKkmNspnEyiz3C-sQgH1tQLf2aLK5Sc
48,NAVAJO,501 E MAIN ST,ARTESIA,NM,MEDIUM SIZED HIGHLY COMPLEX REFINERY,IN SERVICE,330,EDDY,32.84693,-104.39327,http://www.hollyfrontier.com,HOLLYFRONTIER CORP,HOLLYFRONTIER NAVAJO REFINING LLC,98000,65,98000,https://drive.google.com/uc?id=1V89nQeRQThpBTbxoOK0rE_dXPuB_9DGz
49,SARALAND,400 INDUSTRIAL PARKWAY EXTENSION EAST,SARALAND,AL,SMALL / MEDIUM SIZED SIMPLE REFINERY,IN SERVICE,165,MOBILE,30.78914,-88.05573,http://www.shell.com,ROYAL DUTCH/SHELL GROUP,SHELL CHEMICAL LP,91575,70,91575,https://drive.google.com/uc?id=1T93uGwcgRKcGyELd8shKxtrdeVVN9fIw
50,SALT LAKE CITY,2351 NORTH 1100 WEST,SALT LAKE CITY,UT,SMALL COMPLEX REFINERY,IN SERVICE,301,SALT LAKE,40.8259,-111.92327,https://www.chevron.com/,CHEVRON CORP,CHEVRON USA INC,54500,97,54500,https://drive.google.com/uc?id=1cYqssNSSWL_uR-ZVTwEsls4YVy2yPDG1
